Country,Code,Annual CO₂ emissions,Population,Human Development Index,World region according to OWID,co2_per_capita
Afghanistan,AFG,10516319.0,41454762,0.496,Asia,0.25368180861827166
Albania,ALB,4417333.0,2811660,0.81,Europe,1.571076517075322
Algeria,DZA,202846660.0,46164222,0.763,Africa,4.394023146323142
Andorra,AND,418098.0,80869,0.913,Europe,5.170065167122136
Angola,AGO,21674816.0,36749909,0.616,Africa,0.5897923720028804
Antigua and Barbuda,ATG,640533.0,93331,0.851,North America,6.863025147057248
Argentina,ARG,178406990.0,45538402,0.865,South America,3.9177261863514667
Armenia,ARM,7430228.0,2943398,0.811,Asia,2.5243708122381
Australia,AUS,384316060.0,26451126,0.958,Oceania,14.529289225721431
Austria,AUT,56908956.0,9130434,0.93,Europe,6.232886191390245
Azerbaijan,AZE,42748196.0,10318209,0.789,Asia,4.142986055041141
Bahamas,BHS,2956122.0,399452,0.82,North America,7.4004436077426075
Bahrain,BHR,38786692.0,1569674,0.899,Asia,24.71003023557758
Bangladesh,BGD,104526670.0,171466986,0.685,Asia,0.6096023056006828
Barbados,BRB,1316733.0,282347,0.811,North America,4.663527503391217
Belarus,BLR,55736064.0,9115679,0.824,Europe,6.114307447640488
Belgium,BEL,84703360.0,11712891,0.951,Europe,7.231635639740864
Belize,BLZ,766451.0,411112,0.721,North America,1.864336239272996
Benin,BEN,5927823.0,14111035,0.515,Africa,0.42008421069042773
Bhutan,BTN,1629648.0,786386,0.698,Asia,2.0723258043759683
Bolivia,BOL,24620520.0,12244161,0.733,South America,2.0107968198066
Bosnia and Herzegovina,BIH,19881310.0,3185072,0.804,Europe,6.242028437661692
Botswana,BWA,7248677.0,2480242,0.731,Africa,2.9225684429180703
Brazil,BRA,483991940.0,211140731,0.786,South America,2.292271783410658
Brunei,BRN,12502692.0,458959,0.837,Asia,27.241413721051337
Bulgaria,BGR,34500948.0,6795805,0.845,Europe,5.076800761646339
Burkina Faso,BFA,6308441.0,23025777,0.459,Africa,0.2739729912263113
Burundi,BDI,900716.0,13689455,0.439,Africa,0.06579633739984536
Cambodia,KHM,21411502.0,17423884,0.606,Asia,1.228859305996298
Cameroon,CMR,9694864.0,28372690,0.588,Africa,0.3416970333091434
Canada,CAN,545478500.0,39299098,0.939,North America,13.880178623947042
Cape Verde,CPV,571493.0,522335,0.668,Africa,1.094112016234792
Central African Republic,CAF,389279.0,5152415,0.414,Africa,0.07555272624584781
Chad,TCD,2848394.0,19319075,0.416,Africa,0.14743946074022696
Chile,CHL,77604216.0,19658833,0.878,South America,3.947549480683823
China,CHN,12172008000.0,1422584930,0.797,Asia,8.556261031107647
Colombia,COL,89992344.0,52321152,0.788,South America,1.7199992844194256
Comoros,COM,542130.0,850390,0.603,Africa,0.6375074965604017
Congo,COG,8274273.0,6182890,0.649,Africa,1.3382533087277957
Costa Rica,CRI,8472529.0,5105526,0.833,North America,1.6594820984165002
Cote d'Ivoire,CIV,14052436.0,31165653,0.582,Africa,0.4508949644019973
Croatia,HRV,18467598.0,3896023,0.889,Europe,4.740115240592779
Cuba,CUB,23470270.0,11019932,0.762,North America,2.1298017083952967
Cyprus,CYP,7188089.0,1344981,0.913,Europe,5.344379586031327
